"food_items","nutritional_values","health_benefits","disease","symptoms"
"Olive Oil","Fat: 10g, Vit E: 10mg, Antioxidants: 100mg","Aids heart health, Boosts energy","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Dark Chocolate","Fat: 10g, Vit E: 10mg, Antioxidants: 100mg","Aids heart health, Boosts energy","Depression","Fatigue, Sadness, Loss of appetite, Insomnia"
"Green Beans","Vit C: 10mg, Vit K: 20mcg, Fiber: 2g","Aids eye health, Boosts immunity","Cancer","Fatigue, Weight loss, Pain, Lumps, Skin changes"
"Salmon Fillet","Protein: 35g, Fat: 10g, Omega-3: 1000mg","Reduces inflammation, Aids heart health","Heart Disease","Chest pain, Shortness of breath, Fatigue, Palpitations"
"Yogurt Parfait","Protein: 20g, Calcium: 300mg, Vit D: 10mcg","Aids digestion, Boosts immunity","Dengue","Fever, Headache, Muscle pain, Rash, Bleeding"
"Banana Smoothie","Carbohydrates: 25g, Potassium: 400mg, Vit C: 10mg","Aids digestion, Boosts energy","Fever","Headache, Fatigue, Sweating, Chills, Nausea"
"Chicken Soup","Protein: 30g, Fat: 3g, Vit B6: 10mg","Aids immunity, Aids digestion","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Apple Cider Vinegar","Vit C: 10mg, Acetic acid: 10mg, Fiber: 2g","Aids digestion, Aids heart health","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Turmeric Latte","Curcumin: 100mg, Vit C: 10mg, Fiber: 2g","Aids immunity, Aids inflammation","Arthritis","Joint pain, Fatigue, Swelling, Redness, Stiffness"
"Ginger Tea","Vit C: 10mg, Magnesium: 10mg, Fiber: 2g","Aids digestion, Aids immunity","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Quinoa Bowl","Protein: 8g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Sweet Potato Fries","Carbohydrates: 25g, Fiber: 4g, Vit A: 2000 IU","Aids digestion, Boosts immunity","Diabetes","High blood sugar, Fatigue, Blurred vision, Slow healing"
"Almond Butter","Protein: 6g, Fat: 14g, Vit E: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
"Olive Oil Salad","Fat: 10g, Vit E: 10mg, Antioxidants: 100mg","Aids heart health, Boosts energy","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Dark Chocolate Chip Cookies","Fat: 10g, Vit E: 10mg, Antioxidants: 100mg","Aids heart health, Boosts energy","Depression","Fatigue, Sadness, Loss of appetite, Insomnia"
"Green Beans Stir Fry","Vit C: 10mg, Vit K: 20mcg, Fiber: 2g","Aids eye health, Boosts immunity","Cancer","Fatigue, Weight loss, Pain, Lumps, Skin changes"
"Salmon Sushi","Protein: 35g, Fat: 10g, Omega-3: 1000mg","Reduces inflammation, Aids heart health","Heart Disease","Chest pain, Shortness of breath, Fatigue, Palpitations"
"Yogurt Parfait with Granola","Protein: 20g, Calcium: 300mg, Vit D: 10mcg","Aids digestion, Boosts immunity","Dengue","Fever, Headache, Muscle pain, Rash, Bleeding"
"Banana Smoothie with Protein Powder","Carbohydrates: 25g, Potassium: 400mg, Vit C: 10mg","Aids digestion, Boosts energy","Fever","Headache, Fatigue, Sweating, Chills, Nausea"
"Chicken Soup with Rice","Protein: 30g, Fat: 3g, Vit B6: 10mg","Aids immunity, Aids digestion","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Apple Cider Vinegar with Honey","Vit C: 10mg, Acetic acid: 10mg, Fiber: 2g","Aids digestion, Aids heart health","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Turmeric Latte","Curcumin: 100mg, Vit C: 10mg, Fiber: 2g","Aids immunity, Aids inflammation","Arthritis","Joint pain, Fatigue, Swelling, Redness, Stiffness"
"Ginger Tea","Vit C: 10mg, Magnesium: 10mg, Fiber: 2g","Aids digestion, Aids immunity","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Quinoa Bowl","Protein: 8g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Sweet Potato Fries","Carbohydrates: 25g, Fiber: 4g, Vit A: 2000 IU","Aids digestion, Boosts immunity","Diabetes","High blood sugar, Fatigue, Blurred vision, Slow healing"
"Almond Butter","Protein: 6g, Fat: 14g, Vit E: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
"Olive Oil Salad","Fat: 10g, Vit E: 10mg, Antioxidants: 100mg","Aids heart health, Boosts energy","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Dark Chocolate Chip Cookies","Fat: 10g, Vit E: 10mg, Antioxidants: 100mg","Aids heart health, Boosts energy","Depression","Fatigue, Sadness, Loss of appetite, Insomnia"
"Green Beans Stir Fry","Vit C: 10mg, Vit K: 20mcg, Fiber: 2g","Aids eye health, Boosts immunity","Cancer","Fatigue, Weight loss, Pain, Lumps, Skin changes"
"Salmon Sushi","Protein: 35g, Fat: 10g, Omega-3: 1000mg","Reduces inflammation, Aids heart health","Heart Disease","Chest pain, Shortness of breath, Fatigue, Palpitations"
"Yogurt Parfait with Granola","Protein: 20g, Calcium: 300mg, Vit D: 10mcg","Aids digestion, Boosts immunity","Dengue","Fever, Headache, Muscle pain, Rash, Bleeding"
"Banana Smoothie with Protein Powder","Carbohydrates: 25g, Potassium: 400mg, Vit C: 10mg","Aids digestion, Boosts energy","Fever","Headache, Fatigue, Sweating, Chills, Nausea"
"Chicken Soup with Rice","Protein: 30g, Fat: 3g, Vit B6: 10mg","Aids immunity, Aids digestion","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
"Apple Cider Vinegar with Honey","Vit C: 10mg, Acetic acid: 10mg, Fiber: 2g","Aids digestion, Aids heart health","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Spinach Salad with Feta Cheese","Vit A: 2000 IU, Calcium: 300mg, Fiber: 2g","Aids eye health, Boosts immunity","Cataracts","Blurred vision, Double vision, Sensitivity to light, Eye pain"
"Avocado Toast","Fat: 10g, Fiber: 4g, Vit C: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
"Carrot Juice","Vit A: 2000 IU, Vit K: 20mcg, Fiber: 2g","Aids eye health, Boosts immunity","Macular Degeneration","Blurred vision, Distorted vision, Blind spots, Eye pain"
"Quinoa and Black Bean Bowl","Protein: 15g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Spinach Salad with Feta Cheese","Vit A: 2000 IU, Calcium: 300mg, Fiber: 2g","Aids eye health, Boosts immunity","Cataracts","Blurred vision, Double vision, Sensitivity to light, Eye pain"
"Avocado Toast","Fat: 10g, Fiber: 4g, Vit C: 10mg","Aids heart health, Boosts energy","High Cholesterol","Fatigue, Shortness of breath, Chest pain, Palpitations"
"Carrot Juice","Vit A: 2000 IU, Vit K: 20mcg, Fiber: 2g","Aids eye health, Boosts immunity","Macular Degeneration","Blurred vision, Distorted vision, Blind spots, Eye pain"
"Quinoa and Black Bean Bowl","Protein: 15g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Green Tea","Antioxidants: 100mg, Caffeine: 20mg, Fiber: 2g","Aids heart health, Boosts energy","Parkinson's Disease","Tremors, Rigidity, Bradykinesia, Postural instability"
"Oatmeal with Banana and Honey","Carbohydrates: 30g, Fiber: 4g, Vit B6: 10mg","Aids digestion, Boosts energy","Irritable Bowel Syndrome","Abdominal pain, Bloating, Diarrhea, Constipation"
"Grilled Chicken Breast","Protein: 35g, Fat: 3g, Vit B6: 10mg","Aids muscle growth, Boosts energy","Muscular Dystrophy","Muscle weakness, Muscle cramps, Muscle wasting"
"Sweet Potato and Black Bean Tacos","Carbohydrates: 30g, Fiber: 4g, Vit A: 2000 IU","Aids digestion, Boosts immunity","Crohn's Disease","Diarrhea, Abdominal pain, Fatigue, Weight loss"
"Almond Milk Smoothie with Protein Powder","Protein: 20g, Calcium: 300mg, Vit D: 10mcg","Aids bone health, Boosts energy","Osteoporosis","Back pain, Height loss, Fractures, Weakness"
"Roasted Vegetables with Quinoa","Vit C: 10mg, Fiber: 5g, Antioxidants: 100mg","Aids eye health, Boosts immunity","Glaucoma","Eye pain, Nausea, Vomiting, Blurred vision"
"Roasted Vegetables with Quinoa","Vit C: 10mg, Fiber: 5g, Antioxidants: 100mg","Aids eye health, Boosts immunity","Glaucoma","Eye pain, Nausea, Vomiting, Blurred vision"
"Grilled Salmon with Brown Rice","Protein: 35g, Fat: 10g, Omega-3: 1000mg","Aids heart health, Boosts energy","Rheumatoid Arthritis","Joint pain, Fatigue, Swelling, Redness, Stiffness"
"Spinach and Feta Stuffed Chicken Breast","Protein: 30g, Vit A: 2000 IU, Calcium: 300mg","Aids eye health, Boosts immunity","Age-Related Macular Degeneration","Blurred vision, Distorted vision, Blind spots, Eye pain"
"Avocado and Egg Toast","Fat: 10g, Fiber: 4g, Vit C: 10mg","Aids heart health, Boosts energy","High Blood Pressure","Headache, Dizziness, Nausea, Fatigue, Palpitations"
"Quinoa and Black Bean Chili","Protein: 15g, Fiber: 5g, Iron: 2mg","Aids digestion, Boosts energy","Anemia","Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness"
"Green Smoothie with Spinach and Banana","Vit A: 2000 IU, Vit C: 10mg, Fiber: 2g","Aids eye health, Boosts immunity","Cancer","Fatigue, Weight loss, Pain, Lumps, Skin changes"
"Oatmeal with Almond Butter and Banana","Carbohydrates: 30g, Fiber: 4g, Vit B6: 10mg","Aids digestion, Boosts energy","Irritable Bowel Syndrome","Abdominal pain, Bloating, Diarrhea, Constipation"
"Grilled Turkey Burger with Sweet Potato Fries","Protein: 30g, Fat: 10g, Vit A: 2000 IU","Aids muscle growth, Boosts energy","Muscular Dystrophy","Muscle weakness, Muscle cramps, Muscle wasting"
"Roasted Chicken Thighs with Quinoa and Broccoli","Protein: 35g, Vit C: 10mg, Fiber: 5g","Aids immunity, Boosts energy","Common Cold","Runny nose, Sore throat, Fatigue, Cough, Sneezing"
